,Symbols,Description
423,PYGPEN,Peru New Sol per Paraguay Guarani (with GFD Extension)
424,PYGUYU,Uruguay Peso Uruguayo per Paraguay Guarani (with GFD Extension)
425,RUBAED,United Arab Emirates Dirham per Russian Federation Ruble
426,RUBARS,Argentina New Peso per Russian Federation Ruble (with GFD Extension)
427,RUBKRW,South Korean Won per Russian Federation Ruble (with GFD Extension)
428,RUBMAD,Morocco Dirham per Russian Federation Ruble (with GFD Extension)
429,RUBMXN,Mexico Peso per Russian Federation Ruble (with GFD Extension)
430,RUBPHP,Philippines Peso per Russian Federation Ruble (with GFD Extension)
431,RUBPLN,Poland New Zloty per Russian Federation Ruble (with GFD Extension)
432,RUBSAR,Saudi Arabia Riyal per Russian Federation Ruble (with GFD Extension)
433,RUBSEK,Sweden Krona per Russian Federation Ruble (with GFD Extension)
434,RUBTHB,Thailand Baht per Russian Federation Ruble (with GFD Extension)
435,RUBTRY,Turkey New Lira per Russian Federation Ruble (with GFD Extension)
436,RUBXOF,West African States CFA Franc per Russian Federation Ruble (with GFD Extension)
437,RUBZAR,South Africa Rand per Russian Federation Ruble (with GFD Extension)
438,SARCHF,Switzerland Franc per Saudi Arabia Riyal (with GFD Extension)
439,SGDILS,Israel New Sheqalim per Singapore Dollar (with GFD Extension)
440,SGDSAR,Saudi Arabia Riyal per Singapore Dollar (with GFD Extension)
441,SGDSEK,Sweden Krona per Singapore Dollar (with GFD Extension)
442,SGDTRY,Turkey New Lira per Singapore Dollar (with GFD Extension)
443,SGDXAF,Central African States CFA Franc per Singapore Dollar (with GFD Extension)
444,SGDXCD,East Caribbean States Dollar per Singapore Dollar (with GFD Extension)
445,SGDZAR,South Africa Rand per Singapore Dollar (with GFD Extension)
446,THBXAF,Central African States CFA Franc per Thailand Baht (with GFD Extension)
447,THBZAR,South Africa Rand per Thailand Baht (with GFD Extension)
448,TRYXAF,Central African States CFA Franc per Türkiye New Lira (with GFD Extension)
449,TWDSEK,Sweden Krona per Taiwan New Dollar (with GFD Extension)
450,TWDSGD,Singapore Dollar per Taiwan New Dollar (with GFD Extension)
451,TWDTRY,Turkey New Lira per Taiwan New Dollar (with GFD Extension)
452,TWDXAF,Central African States CFA Franc per Taiwan New Dollar (with GFD Extension)
453,TWDXOF,West African States CFA Franc per Taiwan New Dollar (with GFD Extension)
454,ZARAED,United Arab Emirates Dirham per South Africa Rand
455,ZARCHF,Switzerland Franc per South Africa Rand (with GFD Extension)
456,ZARCLP,Chile Peso per South Africa Rand (with GFD Extension)
457,ZARDKK,Denmark Krone per South Africa Rand (with GFD Extension)
458,ZARHKD,Hong Kong Dollar per South Africa Rand (with GFD Extension)
459,ZARHUF,Hungary Forint per South Africa Rand (with GFD Extension)
460,ZARILS,Israel New Sheqalim per South Africa Rand (with GFD Extension)
461,ZARNOK,Norway Krone per South Africa Rand (with GFD Extension)
462,ZARNZD,New Zealand Dollar per South Africa Rand (with GFD Extension)
463,ZARPHP,Philippines Peso per South Africa Rand (with GFD Extension)
464,ZARPLN,Poland New Zloty per South Africa Rand (with GFD Extension)
465,ZARRUB,Russian Federation Ruble per South Africa Rand (with GFD Extension)
466,ZARSAR,Saudi Arabia Riyal per South Africa Rand (with GFD Extension)
467,ZARSEK,Sweden Krona per South Africa Rand (with GFD Extension)
468,ZARSGD,Singapore Dollar per South Africa Rand (with GFD Extension)
469,ZARTHB,Thailand Baht per South Africa Rand (with GFD Extension)
470,ZARTRY,Turkey New Lira per South Africa Rand (with GFD Extension)
471,ZARTWD,Taiwan New Dollar per South Africa Rand (with GFD Extension)
472,ZARXAF,Central African States CFA Franc per South Africa Rand (with GFD Extension)
473,ZARXCD,East Caribbean States Dollar per South Africa Rand (with GFD Extension)
474,ZARXOF,West African States CFA Franc per South Africa Rand (with GFD Extension)
475,AEDBRL,Brazil Real per United Arab Emirates Dirham
476,AEDCAD,Canada Dollar per United Arab Emirates Dirham
477,AEDIDR,Indonesia Rupiah per United Arab Emirates Dirham
478,AEDILS,Israel New Sheqalim per United Arab Emirates Dirham
479,AEDINR,India Rupee per United Arab Emirates Dirham
480,AEDJPY,Japan Yen per United Arab Emirates Dirham
481,AEDKRW,South Korean Won per United Arab Emirates Dirham
482,AEDMAD,Morocco Dirham per United Arab Emirates Dirham
483,AEDMXN,Mexico Peso per United Arab Emirates Dirham
484,AEDPHP,Philippines Peso per United Arab Emirates Dirham
485,AEDPLN,Poland New Zloty per United Arab Emirates Dirham
486,AEDRUB,Russian Federation Ruble per United Arab Emirates Dirham
487,AEDSAR,Saudi Arabia Riyal per United Arab Emirates Dirham
488,AEDTWD,Taiwan New Dollar per United Arab Emirates Dirham
489,ARSXAF,Central African States CFA Franc per Argentina New Peso (with GFD Extension)
490,ARSXOF,West African States CFA Franc per Argentina New Peso (with GFD Extension)
491,BRLAED,United Arab Emirates Dirham per Brazil Real
492,BRLARS,Argentina New Peso per Brazil Real (with GFD Extension)
493,BRLAUD,Australia Dollar per Brazil Real (with GFD Extension)
494,BRLBOB,Bolivia Boliviano per Brazil Real (with GFD Extension)
495,BRLCHF,Switzerland Franc per Brazil Real (with GFD Extension)
496,BRLCLP,Chile Peso per Brazil Real (with GFD Extension)
497,BRLCNY,China Renminbi Yuan per Brazil Real (with GFD Extension)
498,BRLCOP,Colombia Peso per Brazil Real (with GFD Extension)
499,BRLDKK,Denmark Krone per Brazil Real (with GFD Extension)
500,BRLEGP,Egypt Pound per Brazil Real (with GFD Extension)
501,BRLINR,India Rupee per Brazil Real (with GFD Extension)
502,BRLKRW,South Korean Won per Brazil Real (with GFD Extension)
503,CNYSAR,Saudi Arabia Riyal per China Renminbi Yuan (with GFD Extension)
504,CNYSEK,Sweden Krona per China Renminbi Yuan (with GFD Extension)
505,CNYXAF,Central African States CFA Franc per China Renminbi Yuan (with GFD Extension)
506,CNYXCD,East Caribbean States Dollar per China Renminbi Yuan (with GFD Extension)
507,CNYZAR,South Africa Rand per China Renminbi Yuan (with GFD Extension)
508,COPARS,Argentina New Peso per Colombia Peso (with GFD Extension)
509,COPCLP,Chile Peso per Colombia Peso (with GFD Extension)
510,COPMXN,Mexico Peso per Colombia Peso (with GFD Extension)
511,DKKARS,Argentina New Peso per Denmark Krone (with GFD Extension)
512,DKKBRL,Brazil Real per Denmark Krone (with GFD Extension)
513,DKKCAD,Canada Dollar per Denmark Krone (with GFD Extension)
514,DKKCHF,Switzerland Franc per Denmark Krone (with GFD Extension)
515,DKKCLP,Chile Peso per Denmark Krone (with GFD Extension)
516,DKKCOP,Colombia Peso per Denmark Krone (with GFD Extension)
517,DKKEGP,Egypt Pound per Denmark Krone (with GFD Extension)
518,DKKHKD,Hong Kong Dollar per Denmark Krone (with GFD Extension)
519,DKKHUF,Hungary Forint per Denmark Krone (with GFD Extension)
520,DKKINR,India Rupee per Denmark Krone (with GFD Extension)
521,DKKKES,Kenya Shilling per Denmark Krone (with GFD Extension)
522,DKKKRW,South Korean Won per Denmark Krone (with GFD Extension)
523,DKKMXN,Mexico Peso per Denmark Krone (with GFD Extension)
524,DKKMYR,Malaysia Dollar per Denmark Krone (with GFD Extension)
525,DKKRUB,Russian Federation Ruble per Denmark Krone (with GFD Extension)
526,DKKSAR,Saudi Arabia Riyal per Denmark Krone (with GFD Extension)
527,DKKSEK,Sweden Krona per Denmark Krone (with GFD Extension)
528,DKKTHB,Thailand Baht per Denmark Krone (with GFD Extension)
529,DKKTRY,Turkey New Lira per Denmark Krone (with GFD Extension)
530,DKKXAF,Central African States CFA Franc per Denmark Krone (with GFD Extension)
531,DKKZAR,South Africa Rand per Denmark Krone (with GFD Extension)
532,EGPSAR,Saudi Arabia Riyal per Egypt Pound (with GFD Extension)
533,EURAED,United Arab Emirates Dirham per Europe Euro
534,EUREGP,Egypt Pound per Europe Euro (with GFD Extension)
535,EURKES,Kenya Shilling per Europe Euro (with GFD Extension)
536,EURKWD,Kuwait Dinar per Europe Euro (with GFD Extension)
537,HKDARS,Argentina New Peso per Hong Kong Dollar (with GFD Extension)
538,HKDBRL,Brazil Real per Hong Kong Dollar (with GFD Extension)
539,HKDCLP,Chile Peso per Hong Kong Dollar (with GFD Extension)
540,HKDCNY,China Renminbi Yuan per Hong Kong Dollar (with GFD Extension)
541,HKDDKK,Denmark Krone per Hong Kong Dollar (with GFD Extension)
542,HKDKES,Kenya Shilling per Hong Kong Dollar (with GFD Extension)
543,HKDKRW,South Korean Won per Hong Kong Dollar (with GFD Extension)
544,HKDMAD,Morocco Dirham per Hong Kong Dollar (with GFD Extension)
545,HKDMXN,Mexico Peso per Hong Kong Dollar (with GFD Extension)
546,HKDNOK,Norway Krone per Hong Kong Dollar (with GFD Extension)
547,HKDPLN,Poland New Zloty per Hong Kong Dollar (with GFD Extension)
548,HKDSAR,Saudi Arabia Riyal per Hong Kong Dollar (with GFD Extension)
549,HUFIDR,Indonesia Rupiah per Hungary Forint (with GFD Extension)
550,ILSCAD,Canada Dollar per Israel New Sheqalim (with GFD Extension)
551,ILSEUR,Europe Euro per Israel New Sheqalim (with GFD Extension)
552,ILSIDR,Indonesia Rupiah per Israel New Sheqalim (with GFD Extension)
553,ILSJPY,Japan Yen per Israel New Sheqalim (with GFD Extension)
554,ILSKRW,South Korean Won per Israel New Sheqalim (with GFD Extension)
555,ILSXOF,West African States CFA Franc per Israel New Sheqalim (with GFD Extension)
556,INRCLP,Chile Peso per India Rupee (with GFD Extension)
557,INRCNY,China Renminbi Yuan per India Rupee (with GFD Extension)
558,INRDKK,Denmark Krone per India Rupee (with GFD Extension)
559,INREGP,Egypt Pound per India Rupee (with GFD Extension)
560,INRKRW,South Korean Won per India Rupee (with GFD Extension)
561,INRMAD,Morocco Dirham per India Rupee (with GFD Extension)
562,INRMXN,Mexico Peso per India Rupee (with GFD Extension)
563,INRMYR,Malaysia Dollar per India Rupee (with GFD Extension)
564,INRNOK,Norway Krone per India Rupee (with GFD Extension)
565,INRPHP,Philippines Peso per India Rupee (with GFD Extension)
566,INRRUB,Russian Federation Ruble per India Rupee (with GFD Extension)
567,INRSEK,Sweden Krona per India Rupee (with GFD Extension)
568,INRTRY,Turkey New Lira per India Rupee (with GFD Extension)
569,INRTWD,Taiwan New Dollar per India Rupee (with GFD Extension)
570,INRXAF,Central African States CFA Franc per India Rupee (with GFD Extension)
571,INRXOF,West African States CFA Franc per India Rupee (with GFD Extension)
572,INRZAR,South Africa Rand per India Rupee (with GFD Extension)
573,JPYEGP,Egypt Pound per Japan Yen (with GFD Extension)
574,JPYKES,Kenya Shilling per Japan Yen (with GFD Extension)
575,JPYXAF,Central African States CFA Franc per Japan Yen (with GFD Extension)
576,JPYXOF,West African States CFA Franc per Japan Yen (with GFD Extension)
577,JPYZAR,South Africa Rand per Japan Yen (with GFD Extension)
578,KRWCAD,Canada Dollar per South Korean Won (with GFD Extension)
579,KRWCHF,Switzerland Franc per South Korean Won (with GFD Extension)
580,KRWINR,India Rupee per South Korean Won (with GFD Extension)
581,KRWTWD,Taiwan New Dollar per South Korean Won (with GFD Extension)
582,KRWZAR,South Africa Rand per South Korean Won (with GFD Extension)
583,KWDAED,United Arab Emirates Dirham per Kuwait Dinar
584,KWDGBP,United Kingdom Pound per Kuwait Dinar (with GFD Extension)
585,KWDJPY,Japan Yen per Kuwait Dinar (with GFD Extension)
586,KWDSAR,Saudi Arabia Riyal per Kuwait Dinar (with GFD Extension)
587,MXNAED,United Arab Emirates Dirham per Mexico Peso
588,MXNBOB,Bolivia Boliviano per Mexico Peso (with GFD Extension)
589,MXNCHF,Switzerland Franc per Mexico Peso (with GFD Extension)
590,MXNCLP,Chile Peso per Mexico Peso (with GFD Extension)
591,MXNCNY,China Renminbi Yuan per Mexico Peso (with GFD Extension)
592,MXNCOP,Colombia Peso per Mexico Peso (with GFD Extension)
593,MXNDKK,Denmark Krone per Mexico Peso (with GFD Extension)
594,MXNEGP,Egypt Pound per Mexico Peso (with GFD Extension)
595,MXNHKD,Hong Kong Dollar per Mexico Peso (with GFD Extension)
596,MXNHUF,Hungary Forint per Mexico Peso (with GFD Extension)
597,MXNILS,Israel New Sheqalim per Mexico Peso (with GFD Extension)
598,MXNINR,India Rupee per Mexico Peso (with GFD Extension)
599,MXNJPY,Japan Yen per Mexico Peso (with GFD Extension)
600,MXNKES,Kenya Shilling per Mexico Peso (with GFD Extension)
601,MXNKRW,South Korean Won per Mexico Peso (with GFD Extension)
602,MXNMAD,Morocco Dirham per Mexico Peso (with GFD Extension)
603,MXNMYR,Malaysia Dollar per Mexico Peso (with GFD Extension)
604,MXNNOK,Norway Krone per Mexico Peso (with GFD Extension)
605,MXNNZD,New Zealand Dollar per Mexico Peso (with GFD Extension)
606,MXNPEN,Peru New Sol per Mexico Peso (with GFD Extension)
607,MXNPHP,Philippines Peso per Mexico Peso (with GFD Extension)
608,MXNPLN,Poland New Zloty per Mexico Peso (with GFD Extension)
609,MXNPYG,Paraguay Guarani per Mexico Peso (with GFD Extension)
610,MXNSGD,Singapore Dollar per Mexico Peso (with GFD Extension)
611,MXNTHB,Thailand Baht per Mexico Peso (with GFD Extension)
612,MXNTRY,Turkey New Lira per Mexico Peso (with GFD Extension)
613,MXNTWD,Taiwan New Dollar per Mexico Peso (with GFD Extension)
614,MXNUYU,Uruguay Peso Uruguayo per Mexico Peso (with GFD Extension)
615,MXNXAF,Central African States CFA Franc per Mexico Peso (with GFD Extension)
616,MXNXCD,East Caribbean States Dollar per Mexico Peso (with GFD Extension)
617,MXNXOF,West African States CFA Franc per Mexico Peso (with GFD Extension)
618,MXNZAR,South Africa Rand per Mexico Peso (with GFD Extension)
619,NOKCHF,Switzerland Franc per Norway Krone (with GFD Extension)
620,NOKIDR,Indonesia Rupiah per Norway Krone (with GFD Extension)
621,NOKRUB,Russian Federation Ruble per Norway Krone (with GFD Extension)
622,NOKSAR,Saudi Arabia Riyal per Norway Krone (with GFD Extension)
623,NZDIDR,Indonesia Rupiah per New Zealand Dollar (with GFD Extension)
624,NZDKES,Kenya Shilling per New Zealand Dollar (with GFD Extension)
625,NZDKRW,South Korean Won per New Zealand Dollar (with GFD Extension)
626,NZDMXN,Mexico Peso per New Zealand Dollar (with GFD Extension)
627,NZDNOK,Norway Krone per New Zealand Dollar (with GFD Extension)
628,NZDSAR,Saudi Arabia Riyal per New Zealand Dollar (with GFD Extension)
629,NZDTWD,Taiwan New Dollar per New Zealand Dollar (with GFD Extension)
630,NZDXAF,Central African States CFA Franc per New Zealand Dollar (with GFD Extension)
631,NZDXOF,West African States CFA Franc per New Zealand Dollar (with GFD Extension)
632,NZDZAR,South Africa Rand per New Zealand Dollar (with GFD Extension)
633,PHPCNY,China Renminbi Yuan per Philippines Peso (with GFD Extension)
634,PHPKRW,South Korean Won per Philippines Peso (with GFD Extension)
635,PLNAUD,Australia Dollar per Poland New Zloty (with GFD Extension)
636,PLNIDR,Indonesia Rupiah per Poland New Zloty (with GFD Extension)
637,RUBCHF,Switzerland Franc per Russian Federation Ruble (with GFD Extension)
638,RUBCLP,Chile Peso per Russian Federation Ruble (with GFD Extension)
639,RUBCNY,China Renminbi Yuan per Russian Federation Ruble (with GFD Extension)
640,RUBDKK,Denmark Krone per Russian Federation Ruble (with GFD Extension)
641,RUBEGP,Egypt Pound per Russian Federation Ruble (with GFD Extension)
642,RUBHKD,Hong Kong Dollar per Russian Federation Ruble (with GFD Extension)
643,RUBHUF,Hungary Forint per Russian Federation Ruble (with GFD Extension)
644,RUBILS,Israel New Sheqalim per Russian Federation Ruble (with GFD Extension)
645,RUBINR,India Rupee per Russian Federation Ruble (with GFD Extension)
646,RUBKES,Kenya Shilling per Russian Federation Ruble (with GFD Extension)
647,RUBKZT,Kazakhstan Tenge per Russian Federation Ruble (with GFD Extension)
648,RUBXAF,Central African States CFA Franc per Russian Federation Ruble (with GFD Extension)
649,SARAED,United Arab Emirates Dirham per Saudi Arabia Riyal
650,SARARS,Argentina New Peso per Saudi Arabia Riyal (with GFD Extension)
651,SARBRL,Brazil Real per Saudi Arabia Riyal (with GFD Extension)
652,SARCLP,Chile Peso per Saudi Arabia Riyal (with GFD Extension)
653,SARCNY,China Renminbi Yuan per Saudi Arabia Riyal (with GFD Extension)
654,SEKAED,United Arab Emirates Dirham per Sweden Krona
655,SEKCNY,China Renminbi Yuan per Sweden Krona (with GFD Extension)
656,SEKEGP,Egypt Pound per Sweden Krona (with GFD Extension)
657,SEKHUF,Hungary Forint per Sweden Krona (with GFD Extension)
658,SEKILS,Israel New Sheqalim per Sweden Krona (with GFD Extension)
659,SEKJPY,Japan Yen per Sweden Krona (with GFD Extension)
660,SEKKES,Kenya Shilling per Sweden Krona (with GFD Extension)
661,SEKKRW,South Korean Won per Sweden Krona (with GFD Extension)
662,SEKMAD,Morocco Dirham per Sweden Krona (with GFD Extension)
663,SEKMXN,Mexico Peso per Sweden Krona (with GFD Extension)
664,SEKNZD,New Zealand Dollar per Sweden Krona (with GFD Extension)
665,SEKPLN,Poland New Zloty per Sweden Krona (with GFD Extension)
666,SEKSAR,Saudi Arabia Riyal per Sweden Krona (with GFD Extension)
667,SEKTHB,Thailand Baht per Sweden Krona (with GFD Extension)
668,SEKTWD,Taiwan New Dollar per Sweden Krona (with GFD Extension)
669,SEKXAF,Central African States CFA Franc per Sweden Krona (with GFD Extension)
670,SEKXCD,East Caribbean States Dollar per Sweden Krona (with GFD Extension)
671,SEKXOF,West African States CFA Franc per Sweden Krona (with GFD Extension)
672,SEKZAR,South Africa Rand per Sweden Krona (with GFD Extension)
673,SGDAED,United Arab Emirates Dirham per Singapore Dollar
674,SGDARS,Argentina New Peso per Singapore Dollar (with GFD Extension)
675,SGDBRL,Brazil Real per Singapore Dollar (with GFD Extension)
676,SGDCAD,Canada Dollar per Singapore Dollar (with GFD Extension)
677,SGDCLP,Chile Peso per Singapore Dollar (with GFD Extension)
678,SGDDKK,Denmark Krone per Singapore Dollar (with GFD Extension)
679,SGDEGP,Egypt Pound per Singapore Dollar (with GFD Extension)
680,SGDHUF,Hungary Forint per Singapore Dollar (with GFD Extension)
681,SGDINR,India Rupee per Singapore Dollar (with GFD Extension)
682,SGDKES,Kenya Shilling per Singapore Dollar (with GFD Extension)
683,SGDMAD,Morocco Dirham per Singapore Dollar (with GFD Extension)
684,SGDMXN,Mexico Peso per Singapore Dollar (with GFD Extension)
685,SGDMYR,Malaysia Dollar per Singapore Dollar (with GFD Extension)
686,SGDNOK,Norway Krone per Singapore Dollar (with GFD Extension)
687,SGDNZD,New Zealand Dollar per Singapore Dollar (with GFD Extension)
